 ,Round Robin Tournament,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Games,Games Wins,,,,,,,Results,Match W - L,,,Game W - L,,,,M Win %,G Win %,,Player Formatting,,
,Jack,0,VS,2,Aspi,0,1,,Jack,6,-,5,16,-,14,,55%,53%,,Jack,,
,Jack,1,VS,2,arborist,0,1,,Aspi,9,-,2,18,-,8,,82%,69%,,Aspi,,
,Jack,1,VS,2,Neo,0,1,,arborist,7,-,4,16,-,11,,64%,59%,,arborist,,
,Jack,2,VS,1,Murmurtwin,1,0,,Neo,7,-,4,17,-,11,,64%,61%,,Neo,,
,Jack,2,VS,0,Ray Bees,1,0,,Murmurtwin,8,-,3,18,-,10,,73%,64%,,Murmurtwin,,
,Jack,2,VS,1,Last Abzan,1,0,,Ray Bees,3,-,8,8,-,17,,27%,32%,,Ray Bees,,
,Jack,2,VS,0,Max,1,0,,Last Abzan,2,-,9,8,-,19,,18%,30%,,Last Abzan,,
,Jack,1,VS,2,Mr. Fancypants,0,1,,Max,4,-,7,10,-,16,,36%,38%,,Max,, 
,Jack,2,VS,1,baronvonfonz,1,0,,Mr. Fancypants,6,-,5,13,-,14,,55%,48%,,Mr. Fancypants,,
,Jack,1,VS,2,Greg,0,1,,baronvonfonz,3,-,8,11,-,17,,27%,39%,,baronvonfonz,,
,Jack,2,VS,1,Keith,1,0,,Greg,6,-,5,15,-,13,,55%,54%,,Greg,,
,Aspi,0,VS,2,arborist,0,1,,Keith,5,-,6,13,-,13,,45%,50%,,Keith,,
,Aspi,2,VS,1,Neo,1,0,,,,,,,,,,,,,,,
,Aspi,0,VS,2,Murmurtwin,0,1,,,,,,,,,,,,,,,
,Aspi,2,VS,0,Ray Bees,1,0,,,,,,,,,,,,,,,
,Aspi,2,VS,0,Last Abzan,1,0,,,,,,,,,,,,,,,
,Aspi,2,VS,0,Max,1,0,,,,,,,,,,,,,,,
,Aspi,2,VS,0,Mr. Fancypants,1,0,,,,,,,,,,,,,,,
,Aspi,2,VS,1,baronvonfonz,1,0,,,,,,,,,,,,,,,
,Aspi,2,VS,1,Greg,1,0,,,,,,,,,,,,,,,
,Aspi,2,VS,1,Keith,1,0,,,,,,,,,,,,,,,
,arborist,0,VS,2,Neo,0,1,,,,,,,,,,,,,,,
,arborist,2,VS,1,Murmurtwin,1,0,,,,,,,,,,,,,,,
,arborist,2,VS,0,Ray Bees,1,0,,,,,,,,,,,,,,,
,arborist,1,VS,2,Last Abzan,0,1,,,,,,,,,,,,,,,
,arborist,2,VS,0,Max,1,0,,,,,,,,,,,,,,,
,arborist,0,VS,2,Mr. Fancypants,0,1,,,,,,,,,,,,,,,
,arborist,2,VS,1,baronvonfonz,1,0,,,,,,,,,,,,,,,
,arborist,1,VS,2,Greg,0,1,,,,,,,,,,,,,,,
,arborist,2,VS,0,Keith,1,0,,,,,,,,,,,,,,,
,Neo,1,VS,2,Murmurtwin,0,1,,,,,,,,,,,,,,,
,Neo,2,VS,0,Ray Bees,1,0,,,,,,,,,,,,,,,
,Neo,2,VS,1,Last Abzan,1,0,,,,,,,,,,,,,,,
,Neo,2,VS,1,Max,1,0,,,,,,,,,,,,,,,
,Neo,1,VS,2,Mr. Fancypants,0,1,,,,,,,,,,,,,,,
,Neo,2,VS,0,baronvonfonz,1,0,,,,,,,,,,,,,,,
,Neo,0,VS,2,Greg,0,1,,,,,,,,,,,,,,,
,Neo,2,VS,0,Keith,1,0,,,,,,,,,,,,,,,
,Murmurtwin,2,VS,0,Ray Bees,1,0,,,,,,,,,,,,,,,
,Murmurtwin,2,VS,1,Last Abzan,1,0,,,,,,,,,,,,,,,
,Murmurtwin,2,VS,0,Max,1,0,,,,,,,,,,,,,,,
,Murmurtwin,2,VS,0,Mr. Fancypants,1,0,,,,,,,,,,,,,,,
,Murmurtwin,2,VS,1,baronvonfonz,1,0,,,,,,,,,,,,,,,
,Murmurtwin,2,VS,1,Greg,1,0,,,,,,,,,,,,,,,
,Murmurtwin,0,VS,2,Keith,0,1,,,,,,,,,,,,,,,
,Ray Bees,2,VS,0,Last Abzan,1,0,,,,,,,,,,,,,,,
,Ray Bees,2,VS,1,Max,1,0,,,,,,,,,,,,,,,
,Ray Bees,0,VS,2,Mr. Fancypants,0,1,,,,,,,,,,,,,,,
,Ray Bees,2,VS,0,baronvonfonz,1,0,,,,,,,,,,,,,,,
,Ray Bees,1,VS,2,Greg,0,1,,,,,,,,,,,,,,,
,Ray Bees,1,VS,2,Keith,0,1,,,,,,,,,,,,,,,
,Last Abzan,0,VS,2,Max,0,1,,,,,,,,,,,,,,,
,Last Abzan,2,VS,0,Mr. Fancypants,1,0,,,,,,,,,,,,,,,
,Last Abzan,1,VS,2,baronvonfonz,0,1,,,,,,,,,,,,,,,
,Last Abzan,0,VS,2,Greg,0,1,,,,,,,,,,,,,,,
,Last Abzan,0,VS,2,Keith,0,1,,,,,,,,,,,,,,,
,Max,2,VS,1,Mr. Fancypants,1,0,,,,,,,,,,,,,,,
,Max,2,VS,1,baronvonfonz,1,0,,,,,,,,,,,,,,,
,Max,2,VS,0,Greg,1,0,,,,,,,,,,,,,,,
,Max,0,VS,2,Keith,0,1,,,,,,,,,,,,,,,
,Mr. Fancypants,0,VS,2,baronvonfonz,0,1,,,,,,,,,,,,,,,
,Mr. Fancypants,2,VS,1,Greg,1,0,,,,,,,,,,,,,,,
,Mr. Fancypants,2,VS,1,Keith,1,0,,,,,,,,,,,,,,,
,baronvonfonz,0,VS,2,Greg,0,1,,,,,,,,,,,,,,,
,baronvonfonz,2,VS,0,Keith,1,0,,,,,,,,,,,,,,,
,Greg,0,VS,2,Keith,0,1,,,,,,,,,,,,,,,
